sample,step,block_states,solved
0,46,"[2, 2, 1, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 0, 1, 2, 0, 0, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 3]",True
0,47,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 0, 1, 2, 0, 0, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 3]",True
0,48,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 0, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 3]",True
0,49,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 3]",True
0,50,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 3]",True
0,51,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 0, 1, 1, 1, 4, 3]",True
0,52,"[2, 2, 2, 2, 1, 2, 3, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 0, 1, 1, 1, 4, 3]",True
0,53,"[2, 2, 2, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 4, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 0, 1, 1, 1, 4, 3]",True
0,54,"[2, 2, 2, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 2, 1, 1, 0, 1, 1, 1, 4, 3]",True
0,55,"[2, 2, 2, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 4, 3]",True
0,56,"[2, 2, 2, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 4, 1]",True
0,57,"[2, 2, 3, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 4, 1]",True
0,58,"[2, 2, 3, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 4, 1]",True
0,59,"[2, 2, 3, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 4, 1]",True
0,60,"[2, 2, 3, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 3, 0]",True
0,61,"[2, 2, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 0, 1, 1, 0, 1, 1, 1, 3, 0]",True
1,0,"[2, 2, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 1, 2, 4, 2, 1, 2, 3, 0, 2, 1, 0, 0, 1, 2, 0, 2, 1, 1, 3, 2, 1, 1, 4, 1, 1, 1, 2, 0]",True
